time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current
1734572276.9966817,3.216,3.217,3.216,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572278.008412,3.216,3.216,3.216,3.214,3.214,3.216,3.213,3.213,25.600,21.2,21.3,21.3,21.5,0.0
1734572279.0095341,3.216,3.216,3.216,3.213,3.214,3.217,3.213,3.213,25.600,21.2,21.2,21.4,21.5,0.0
1734572280.020061,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.212,25.610,21.2,21.2,21.3,21.5,-0.0
1734572281.0347078,3.216,3.216,3.214,3.213,3.213,3.217,3.213,3.213,25.610,21.2,21.2,21.3,21.5,-0.2
1734572282.0466506,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.2,21.4,21.5,-0.2
1734572283.0674555,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.2,21.4,21.5,-0.2
1734572284.072734,3.215,3.217,3.215,3.213,3.213,3.216,3.213,3.213,25.610,21.2,21.3,21.4,21.5,0.0
1734572285.0767431,3.216,3.217,3.215,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572286.0886881,3.216,3.216,3.215,3.213,3.214,3.217,3.213,3.213,25.600,21.2,21.3,21.4,21.5,0.0
1734572287.0996404,3.216,3.217,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.2,21.3,21.5,0.0
1734572288.1150367,3.216,3.217,3.215,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.2,21.3,21.5,0.0
1734572289.12625,3.216,3.216,3.216,3.214,3.214,3.217,3.213,3.213,25.610,21.2,21.2,21.4,21.5,0.0
1734572290.135293,3.216,3.216,3.215,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.2,21.3,21.5,-0.0
1734572291.148205,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.3,21.4,21.5,-0.0
1734572292.1595013,3.216,3.217,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.2,21.4,21.5,-0.0
1734572293.1746347,3.216,3.216,3.216,3.213,3.214,3.217,3.213,3.213,25.610,21.3,21.2,21.3,21.5,0.0
1734572294.1857002,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.3,21.3,21.5,0.0
1734572295.1938617,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.2,21.4,21.5,0.0
1734572296.2073233,3.216,3.216,3.215,3.213,3.214,3.217,3.213,3.213,25.610,21.2,21.3,21.3,21.5,0.0
1734572297.21755,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.213,25.610,21.2,21.3,21.3,21.5,-0.0
1734572298.2243788,3.216,3.216,3.216,3.213,3.214,3.216,3.213,3.213,25.600,21.2,21.3,21.3,21.5,-0.0
1734572299.2268558,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.213,25.600,21.2,21.3,21.3,21.5,0.0
1734572300.2341802,3.215,3.217,3.215,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.2,21.3,21.5,0.0
1734572301.239699,3.216,3.216,3.216,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.2,21.4,21.5,-0.2
1734572302.2490869,3.216,3.216,3.215,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.2,21.4,21.5,-0.2
1734572303.2573776,3.216,3.216,3.216,3.213,3.214,3.217,3.213,3.212,25.600,21.2,21.2,21.4,21.5,-0.2
1734572304.2586703,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.213,25.610,21.2,21.2,21.3,21.5,0.0
1734572305.2688475,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.2,21.4,21.6,-0.0
1734572306.2804072,3.216,3.216,3.216,3.213,3.213,3.217,3.214,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572307.2859275,3.216,3.217,3.216,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.2,21.3,21.5,0.0
1734572308.2995195,3.216,3.217,3.216,3.213,3.212,3.215,3.213,3.213,25.600,21.2,21.3,21.3,21.5,-0.0
1734572309.3069758,3.216,3.216,3.216,3.213,3.214,3.216,3.213,3.212,25.600,21.2,21.2,21.4,21.5,0.0
1734572310.3128371,3.216,3.217,3.216,3.213,3.214,3.216,3.213,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572311.3256133,3.216,3.216,3.216,3.213,3.214,3.217,3.213,3.212,25.620,21.2,21.3,21.3,21.5,0.0
1734572312.3297915,3.215,3.217,3.216,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572313.3318517,3.216,3.216,3.216,3.213,3.214,3.217,3.213,3.213,25.600,21.2,21.2,21.4,21.5,-0.0
1734572314.3340948,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.212,25.600,21.2,21.3,21.3,21.5,0.0
1734572315.34265,3.216,3.215,3.214,3.212,3.212,3.216,3.213,3.213,25.600,21.2,21.2,21.4,21.5,0.0
1734572316.3490944,3.216,3.217,3.216,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.3,21.3,21.5,0.0
1734572317.3644743,3.216,3.216,3.215,3.213,3.214,3.217,3.213,3.213,25.600,21.3,21.2,21.3,21.5,0.0
1734572318.3702524,3.215,3.216,3.216,3.214,3.213,3.216,3.213,3.212,25.600,21.2,21.2,21.3,21.5,0.0
1734572319.380391,3.216,3.216,3.216,3.213,3.214,3.216,3.213,3.212,25.600,21.2,21.2,21.3,21.5,0.0
1734572320.3919053,3.216,3.217,3.216,3.213,3.214,3.216,3.213,3.213,25.590,21.2,21.3,21.3,21.5,-0.0
1734572321.3943064,3.216,3.216,3.215,3.213,3.213,3.216,3.213,3.212,25.600,21.2,21.2,21.3,21.5,-0.2
1734572322.399639,3.216,3.216,3.215,3.213,3.213,3.216,3.213,3.212,25.600,21.3,21.3,21.3,21.6,-0.2
1734572323.4015822,3.215,3.216,3.216,3.213,3.213,3.216,3.213,3.211,25.590,21.2,21.2,21.3,21.5,0.0
1734572324.4064655,3.216,3.216,3.216,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.2,21.3,21.5,-0.0
1734572325.4142988,3.216,3.216,3.216,3.214,3.213,3.216,3.213,3.213,25.600,21.2,21.3,21.3,21.5,0.0
1734572326.4237401,3.216,3.217,3.216,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.3,21.3,21.5,-0.0
1734572327.4341834,3.216,3.217,3.216,3.213,3.214,3.217,3.213,3.212,25.600,21.2,21.2,21.4,21.5,0.0
1734572328.440434,3.216,3.217,3.216,3.213,3.212,3.216,3.213,3.213,25.610,21.2,21.3,21.3,21.5,-0.0
1734572329.4516435,3.216,3.217,3.216,3.213,3.213,3.217,3.213,3.213,25.600,21.2,21.3,21.4,21.6,0.0
